id_asignacion,id_gestion,id_asignatura,id_docente,siacop_id_persona,paralelo,turno,horas_asignadas,categoria,nombramiento,evaluacion_nota,evaluacion_archivo_digital,nombre_sede,siacop_id_asignacion_docente,siacop_id_asignacion,siacop_id_gestion,siacop_gestion
1,1,2549,63,1276,PH,M,40,INTERINO,MED.VILESP.14.97.MED-600.6.M.PH / 1.,NULL,,VILLA ESPERANZA,44886,39203,54,2015
2,1,814,57,808,G,T,40,CONTRATADO,MED.VILESP.14.97.MED - 100.1.T.G / 1.,NULL,,VILLA ESPERANZA,46061,38389,54,2015
3,1,816,29,372,C,M,20,CONTRATADO,MED.VILESP.14.97.MED - 102.1.M.C / 4.,NULL,,VILLA ESPERANZA,46070,40291,54,2015
4,1,816,4,74,B,M,20,CONTRATADO,MED.VILESP.14.97.MED - 102.1.M.B / 9.,NULL,,VILLA ESPERANZA,46071,40293,54,2015
5,1,814,55,797,M,M,40,CONTRATADO,MED.VILESP.14.97.MED - 100.1.M.M / 11.,NULL,,VILLA ESPERANZA,46073,40296,54,2015
6,1,815,38,488,B,M,20,CONTRATADO,MED.VILESP.14.97.MED - 101.1.M.B / 14.,NULL,,VILLA ESPERANZA,46074,40301,54,2015
7,1,1365,3,48,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-502.5.M.PH / 44.,NULL,,VILLA ESPERANZA,46075,40390,54,2015
8,1,1362,53,755,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-501.5.M.PH / 34.,NULL,,VILLA ESPERANZA,46077,40388,54,2015
9,1,1360,32,406,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-501.5.M.PH / 23.,NULL,,VILLA ESPERANZA,46080,40385,54,2015
10,1,821,37,485,C,M,20,CONTRATADO,MED.VILESP.14.97.MED - 201.2.M.C / 5.,NULL,,VILLA ESPERANZA,46081,40309,54,2015
11,1,839,28,368,A,T,24,CONTRATADO,MED.VILESP.14.97.MED - 504.5.T.A / 16.,NULL,,VILLA ESPERANZA,46082,40383,54,2015
12,1,820,70,1290,A,M,20,CONTRATADO,MED.VILESP.14.97.MED - 203.2.M.A / 12.,NULL,,VILLA ESPERANZA,46083,40310,54,2015
13,1,821,15,229,A,M,20,CONTRATADO,MED.VILESP.14.97.MED - 201.2.M.A / 18.,NULL,,VILLA ESPERANZA,46084,40311,54,2015
14,1,821,15,229,G,M,20,CONTRATADO,MED.VILESP.14.97.MED - 201.2.M.G / 19.,NULL,,VILLA ESPERANZA,46085,40313,54,2015
15,1,838,52,748,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED - 503.5.M.PH / 3.,NULL,,VILLA ESPERANZA,46086,40381,54,2015
16,1,820,22,309,F,M,20,CONTRATADO,MED.VILESP.14.97.MED - 203.2.M.F / 22.,NULL,,VILLA ESPERANZA,46087,40315,54,2015
17,1,819,63,1276,C,M,20,CONTRATADO,MED.VILESP.14.97.MED - 202.2.M.C / 26.,NULL,,VILLA ESPERANZA,46088,40316,54,2015
18,1,1362,59,1267,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-501.5.M.PH / 2.,NULL,,VILLA ESPERANZA,46089,40379,54,2015
19,1,819,6,124,F,T,20,CONTRATADO,MED.VILESP.14.97.MED - 202.2.T.F / 30.,NULL,,VILLA ESPERANZA,46090,40318,54,2015
20,1,818,44,629,G,T,28,CONTRATADO,MED.VILESP.14.97.MED - 200.2.T.G / 32.,NULL,,VILLA ESPERANZA,46091,40320,54,2015
21,1,818,48,681,A,T,28,CONTRATADO,MED.VILESP.14.97.MED - 200.2.T.A / 43.,NULL,,VILLA ESPERANZA,46094,40324,54,2015
22,1,824,8,169,A,T,24,CONTRATADO,MED.VILESP.14.97.MED - 302.3.T.A / 6.,NULL,,VILLA ESPERANZA,46095,40326,54,2015
23,1,1347,79,1396,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-400 .4.M.PH / 40.,NULL,,VILLA ESPERANZA,46096,40373,54,2015
24,1,1344,24,328,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-301-03.3.M.PH / 10.,NULL,,VILLA ESPERANZA,46097,40327,54,2015
25,1,827,40,534,PH,M,20,CONTRATADO,MED.VILESP.14.97.MED - 304.3.M.PH / 17.,NULL,,VILLA ESPERANZA,46098,40328,54,2015
26,1,1345,23,313,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-400 .4.M.PH / 35.,NULL,,VILLA ESPERANZA,46099,40372,54,2015
27,1,1342,46,641,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-301-01.3.M.PH / 20.,NULL,,VILLA ESPERANZA,46100,40341,54,2015
28,1,824,56,800,D,M,24,CONTRATADO,MED.VILESP.14.97.MED - 302.3.M.D / 21.,NULL,,VILLA ESPERANZA,46101,40332,54,2015
29,1,824,21,277,B,T,24,CONTRATADO,MED.VILESP.14.97.MED - 302.3.T.B / 27.,NULL,,VILLA ESPERANZA,46102,40333,54,2015
30,1,1352,44,629,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-401 .4.M.PH / 33.,NULL,,VILLA ESPERANZA,46103,40371,54,2015
31,1,1342,14,228,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-301-01.3.M.PH / 29.,NULL,,VILLA ESPERANZA,46104,40331,54,2015
32,1,1342,27,359,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-301-01.3.M.PH / 31.,NULL,,VILLA ESPERANZA,46106,40338,54,2015
33,1,1349,33,442,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-400 .4.M.PH / 28.,NULL,,VILLA ESPERANZA,46107,40370,54,2015
34,1,831,91,1708,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED - 402.4.M.PH / 15.,NULL,,VILLA ESPERANZA,46110,40366,54,2015
35,1,831,51,736,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED - 402.4.M.PH / 13.,NULL,,VILLA ESPERANZA,46112,40368,54,2015
36,1,1348,1,6,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-400 .4.M.PH / 8.,NULL,,VILLA ESPERANZA,46113,40365,54,2015
37,1,833,31,390,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED - 404.4.M.PH / 7.,NULL,,VILLA ESPERANZA,46114,40363,54,2015
